today,deviceid,@_gps_precision,q45,q46,q47,serial_number,date_int,stime,stimecheck,log_sheet,q1,q2,q2_1,q3,q4,q5,q6,q7,q8,q9,q10,q11a_n,q11b_n,q11c_n,q11c_n_001,q11e_n,q11f_n,q11g_n,q11h_n,q11a_b,q11b_b,q11c_b,q11e_b,q11f_b,q11g_b,q11h_b,q11a_o,q11b_o,q11c_o,q11e_o,q11f_o,q11g_o,q11h_o,q11i,q11i1,q11i2,q11i3,q11i4,q11i5,q11i6,q11i7,q11i_op,q11j,q12a_n,q12b_n,q12c_n,q12d_n,q12e_n,q12a_b,q12b_b,q12c_b,q12e_b,q12a_o,q12b_o,q12c_o,q12e_o,q12f,q13,q13_a,q13_b,q14,q14_a,q14_a1,q14_a2,q14_a3,q14_a4,q14_a5,q14_a_o,q15,q16,q17,q18_a,q_18b,q19,q20,q21,q22,q23,q23_a,q24a,q24a_1,q24b,q24b_1,q24c,q24c_1,q24c_2,q24c_21,q24c_22,q24c_23,q24c_24,q24c_25,q24c_2_o,q24c_3,q24d,q24d_1,q24d_2,q24e,q24e_1,q24f,q24f_1,q24f_2,q24g,q24g_1,q24h,q24h_1,q24i,q24i_1,q25,q25other1,q25other2,q25other3,q26_a,q26_b,q26_c,q26_d,q26_e,q26_f,q26_g,q26_h,q26_h_o,incompercent,q27_a,q27_b,q27_c,q27_d,q27_e,q27_f,q27_g,q27_h,q28a,q28b,q28c,q29,q30,q31,q32,q33,q34,q35.a,q35.b,q35.c,q35.d,q35.e,q35.f,q35.g,q35.h,q35.i,q35.j,q35.k,q36,q37.a,q37.b,q37.c,q38a,q38a1,q38a2,q38a3,q39a,q40a,q41a1,q41a2,q42a,q43a,q43a_o,q44a,q38b,q38b1,q38b1_A,q38b2,q38b2_A,q38b3,q38b3_A,q38b4,q38b4_A,q38b5,q38b5_A,q39b,q40b,q41b1,q41b2,q42b,q43b,q43b_o,q44b,q49,q49_o,q50,q50_o,q51,q52,q53,q54,q55,q56,q57,q58,end_time,end_time_check,version,id,uuid,submission_time,status,@_submitted_by,@_index,filter_$
12/16/21,collect:WLaajvnpvSPI76Q0,22.512,Beirut,Beirut,6,21,12/16/21,12:00:00.000+02:00,2021-12-16T11:58:00.120+02:00,1,1,1, ,1,3,8,1,45,11/1/21,70,1,1,9,5,1,1200,4,3,4,2, , , , , , ,2, , , , , , , , , , , , , , , ,20,1,6,5,1,420,2, , , ,2, , , ,6,2, , ,2, , , , , , , , , , , , ,1,2,2,2,1,2,1,2,1,1,2, , , , , , , , , ,2, , ,2, ,2, , ,1,1,1,1,1,1,2, , , ,90,0,0,0,0,0,0,10,Assistance from family,100,3,2,2,2,2,2,2,1,1000,0,0,4,3,1,3,3,999,1,3,1,1,3,3,3,1,2,1,2,2,1,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,1, ,2,4,2,0,1,1, ,شكرا.,12:18:00.000+02:00,2021-12-16T11:58:00.093+02:00,v76J56snwoiqz2qXnhejk9,242488974,5148b438-5096-478d-83b1-3d7d57b0022e,44546.42949,submitted_via_web, ,1033,1
12/14/21,collect:WLaajvnpvSPI76Q0,21.373,Beirut,Beirut,8,13,12/14/21,11:39:00.000+02:00,2021-12-14T11:37:36.797+02:00,1,1,1, ,1,3,15,1,40,9/1/21,45,1,2, , , , , , , ,2, , , , , , ,2, , , , , , ,1,1,0,0,0,0,0,0, ,21,2, , , , ,2, , , ,2, , , ,6,2, , ,2, , , , , , , , , , , , ,1,2,4,2,2, ,1,1,1,1,2, , , , , , , , , ,2, , ,2, ,2, , ,1,2,2, ,2, ,2, , , ,0,0,0,0,0,0,0,100,Assistance from family,100,2,2,2,2,2,2,2,3,999,0,0,3,1, , ,1,999,2,2,2,3,2,3,3,2,3,1,2,2,1,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,1, ,2,6,2,0,2,1, , ,11:51:00.000+02:00,2021-12-14T11:37:36.792+02:00,v76J56snwoiqz2qXnhejk9,241660698,c8d983b8-69b5-442d-b38c-5dca9e915783,44544.41063,submitted_via_web, ,858,1
12/16/21,collect:WLaajvnpvSPI76Q0,14.65,Beirut,Beirut,7,26,12/16/21,15:09:00.000+02:00,2021-12-16T15:07:50.457+02:00,1,1,1, ,1,2,7,1,55,10/1/21,267,1,1,8,5,1,1300,2,3,2,2, , , , , , ,2, , , , , , , , , , , , , , , ,15,1,4,5,1,120,2, , , ,2, , , ,2,2, , ,2, , , , , , , , , , , , ,1,2,4,2,1,4,1,2,1,1,2, , , , , , , , , ,3, , ,3, ,3, , ,1,1,1,2,1,1,2, , , ,0,0,0,70,0,0,0,30,Assistance from family,100,2,2,2,1,2,2,2,1,1500,999,0,3,3,1,4,3,999,2,3,3,3,2,3,3,1,2,1,2,2,1,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,2, ,1,3,2,0,2,1, , ,15:24:00.000+02:00,2021-12-16T15:07:50.462+02:00,v76J56snwoiqz2qXnhejk9,242562528,64232839-a2f7-45cc-ad68-22f1cb509198,44546.55869,submitted_via_web, ,1038,1
12/10/21,collect:WaI83mrinfKtbiH9,15.483,South_Lebanon,Saida,158,47,12/10/21,16:01:00.000+02:00,2021-12-10T16:00:06.438+02:00,1,1,1, ,1,2,10,1,40,11/1/21,70,1,1,22,20,2,1400,5,5,5,2, , , , , , ,2, , , , , , , , , , , , , , , ,0,1,14,20,2,60,2, , , ,2, , , ,0,2, , ,2, , , , , , , , , , , , ,2, ,4,1,2, ,2, ,2, ,2, , , , , , , , , ,3, , ,3, ,3, , ,2, ,2, ,2, ,2, , , ,0,0,0,0,0,0,0,100,Assistance from family,100,2,2,2,2,2,2,2,1,0,0,0,1,1, , ,3,999,2,3,2,3,3,3,3,3,3,2,2,1,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,1, ,2,1,1,0,2,1, , ,16:19:00.000+02:00,2021-12-10T16:00:06.439+02:00,v76J56snwoiqz2qXnhejk9,240590498,0130cb7a-9a31-4f16-b7b1-56ace328eb2c,44540.70749,submitted_via_web, ,363,1
12/8/21,collect:XPPjWRcHYrhseFyF,82.5,South_Lebanon,Saida,155,24,12/8/21,15:06:00.000+02:00,2021-12-08T15:05:22.238+02:00,1,1,1, ,1,2,12,1,999,10/1/21,80,1,2, , , , , , , ,2, , , , , , ,2, , , , , , ,7,0,0,0,0,0,0,1,Her son who lives close by provides her with power from his generator subscription,12,2, , , , ,2, , , ,2, , , ,2,2, , ,1,1,1,0,0,0,0, ,12/1/11,999,0, , ,2, ,4,1,1,3,2, ,1,1,3, , , , , , , , , ,3, , ,3, ,3, , ,2, ,2, ,2, ,2, , , ,0,0,0,0,0,0,0,100,Assistance from family,100,2,2,2,2,2,2,2,2,999,0,0,4,1, , ,3,999,2,3,3,3,3,3,3,3,3,3,1,2,2,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,1, ,1,1,1,0,2,1, , ,15:13:00.000+02:00,2021-12-08T15:05:22.238+02:00,v76J56snwoiqz2qXnhejk9,239885731,fdf76179-6992-45f0-9596-a718542b0fda,44538.60317,submitted_via_web, ,178,1
12/9/21,collect:WLaajvnpvSPI76Q0,13.571,Beirut,Beirut,1,3,12/9/21,13:01:00.000+02:00,2021-12-09T13:00:18.210+02:00,1,1,1, ,1,2,15,1,999,11/1/21,20,1,2, , , , , , , ,2, , , , , , ,2, , , , , , ,1,1,0,0,0,0,0,0, ,23,2, , , , ,2, , , ,2, , , ,2,2, , ,2, , , , , , , , , , , , ,1,2,3,2,1,40,1,1,1,1,3, , , , , , , , , ,3, , ,3, ,3, , ,1,1,1,1,2, ,2, , , ,0,0,0,0,0,0,0,100,Assistance from family,100,2,2,2,2,2,2,2,3,0,0,0,4,3,1,2,1,999,2,3,3,3,2,3,3,3,3,2,1,4,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,4, ,2,1,0,0,2,1, ,"لا يوجد هاتف للتواصل، شاب وحيد في المنزل",13:14:00.000+02:00,2021-12-09T13:00:18.210+02:00,v76J56snwoiqz2qXnhejk9,240152471,de95b6c4-e868-42b9-9c0b-b2588bbd55c7,44539.46839,submitted_via_web, ,197,1
12/7/21,collect:rghHK6OjNpsKbxhC,11.715,Beirut,Beirut,1,2,12/7/21,13:34:00.000+02:00,2021-12-07T13:33:16.725+02:00,1,1,1, ,1,1,1,1,45,11/1/21,51,1,2, , , , , , , ,2, , , , , , ,2, , , , , , ,1,1,0,0,0,0,0,0, ,22,2, , , , ,2, , , ,2, , , ,3,2, , ,2, , , , , , , , , , , , ,2, ,4,1,1,1,2, ,2, ,3, , , , , , , , , ,3, , ,3, ,3, , ,2, ,2, ,2, ,2, , , ,0,0,0,0,0,0,0,100,Assistance from family,100,2,2,2,2,2,2,2,2,100,0,0,3,3,2,4,3,999,2,3,3,2,2,3,3,3,3,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,2, ,1,4,1,0,2,1, , ,13:51:00.000+02:00,2021-12-07T13:33:16.726+02:00,v76J56snwoiqz2qXnhejk9,240339718,3789777a-3c9f-4497-8ecb-15b2d5db2c4c,44539.80898,submitted_via_web, ,237,1
12/14/21,collect:vRQFo8pAoqbPw9Nz,4.604,Beirut,Beirut,3,7,12/14/21,13:29:00.000+02:00,2021-12-14T13:28:58.323+02:00,1,1,1, ,1,4,20,1,40,11/1/21,45,1,2, , , , , , , ,2, , , , , , ,2, , , , , , ,1,1,0,0,0,0,0,0, ,22,1,6,5,1,30,2, , , ,2, , , ,0,2, , ,2, , , , , , , , , , , , ,1,2,3,2,1,5,2, ,1,1,3, , , , , , , , , ,3, , ,3, ,3, , ,1,1,2, ,2, ,2, , , ,0,0,0,0,0,50,20,30,Assistance from family,100,2,2,2,2,2,1,1,3,0,0,0,4,4, , ,3,999,1,3,1,2,2,3,3,3,3,2,2,3,1,2,1,3 2,0,1,1,3,2,999, ,Food and medicine,3, ,2,4,0, ,0, ,0, ,1,Refused to say,0, ,3,2,999, ,Did not say,3, ,2,1, ,4, ,1,2,2,0,2,2, , ,13:41:00.000+02:00,2021-12-14T13:28:58.327+02:00,v76J56snwoiqz2qXnhejk9,241705860,b66a0e6a-c396-4016-86cb-0b08a026ed2d,44544.4876,submitted_via_web, ,863,1
12/14/21,collect:WLaajvnpvSPI76Q0,14.834,Beirut,Beirut,1,19,12/14/21,16:24:00.000+02:00,2021-12-14T16:23:06.802+02:00,1,1,1, ,1,2,21,1,300,12/1/21,335,1,2, , , , , , , ,2, , , , , , ,2, , , , , , ,1,1,0,0,0,0,0,0, ,20,2, , , , ,2, , , ,2, , , ,6,2, , ,1,1,1,0,0,0,0, ,8/1/20,50,999, , ,1,2,3,2,1,7,1,1,1,1,3, , , , , , , , , ,3, , ,3, ,3, , ,1,2,1,1,2, ,2, , , ,0,0,0,0,0,0,0,100,Assistance from family,100,2,2,2,2,2,2,2,3,999,0,0,3,1, , ,3,999,2,3,1,3,2,3,3,3,3,1,2,3,1,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,1, ,1,7,2,0,2,1, , ,16:48:00.000+02:00,2021-12-14T16:23:06.806+02:00,v76J56snwoiqz2qXnhejk9,241801235,6993fbec-590f-4ffe-ab13-def118c8a999,44544.61942,submitted_via_web, ,869,1
12/7/21,collect:2Yg5pXEv3O0FRmpk,4.269,North_Lebanon,Akkar,112,4,12/7/21,10:04:00.000+02:00,2021-12-07T10:02:47.581+02:00,1,1,1, ,1,1,8,1,999,11/1/21,999,1,2, , , , , , , ,2, , , , , , ,2, , , , , , ,1,1,0,0,0,0,0,0, ,22,2, , , , ,2, , , ,2, , , ,14,2, , ,1,1,1,0,0,0,0, ,8/1/21,999,999, , ,1,2,4,2,1,5,2, ,1,1,1,Oxygen concentrator,2,0,1,0,0,0, ,1,2, , ,2, ,2, , ,1,1,2, ,2, ,2, , , ,0,100,0,0,0,0,0,0, ,100,2,2,2,2,2,2,2,2,800,0,0,4,4, , ,3,999,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,1, ,1,1,1,0,2,1, ,لا تعليق,10:18:00.000+02:00,2021-12-07T10:02:47.580+02:00,v76J56snwoiqz2qXnhejk9,239567481,da21ad7e-2a8f-43f9-a48b-ef9fad946564,44537.66051,submitted_via_web, ,69,1
