q45,q46,q47,serial_number,date_int,stime,stimecheck,log_sheet,q1,q2,q2_1,q3,q4,q5,q6,q7,q8,q9,q10,q11a_n,q11b_n,q11c_n,q11c_n_001,q11e_n,q11f_n,q11g_n,q11h_n,q11a_b,q11b_b,q11c_b,q11e_b,q11f_b,q11g_b,q11h_b,q11a_o,q11b_o,q11c_o,q11e_o,q11f_o,q11g_o,q11h_o,q11i,q11i1,q11i2,q11i3,q11i4,q11i5,q11i6,q11i7,q11i_op,q11j,q12a_n,q12b_n,q12c_n,q12d_n,q12e_n,q12a_b,q12b_b,q12c_b,q12e_b,q12a_o,q12b_o,q12c_o,q12e_o,q12f,q13,q13_a,q13_b,q14,q14_a,q14_a1,q14_a2,q14_a3,q14_a4,q14_a5,q14_a_o,q15,q16,q17,q18_a,q_18b,q19,q20,q21,q22,q23,q23_a,q24a,q24a_1,q24b,q24b_1,q24c,q24c_1,q24c_2,q24c_21,q24c_22,q24c_23,q24c_24,q24c_25,q24c_2_o,q24c_3,q24d,q24d_1,q24d_2,q24e,q24e_1,q24f,q24f_1,q24f_2,q24g,q24g_1,q24h,q24h_1,q24i,q24i_1,q25,q25other1,q25other2,q25other3,q26_a,q26_b,q26_c,q26_d,q26_e,q26_f,q26_g,q26_h,q26_h_o,incompercent,q27_a,q27_b,q27_c,q27_d,q27_e,q27_f,q27_g,q27_h,q28a,q28b,q28c,q29,q30,q31,q32,q33,q34,q35.a,q35.b,q35.c,q35.d,q35.e,q35.f,q35.g,q35.h,q35.i,q35.j,q35.k,q36,q37.a,q37.b,q37.c,q38a,q38a1,q38a2,q38a3,q39a,q40a,q41a1,q41a2,q42a,q43a,q43a_o,q44a,q38b,q38b1,q38b1_A,q38b2,q38b2_A,q38b3,q38b3_A,q38b4,q38b4_A,q38b5,q38b5_A,q39b,q40b,q41b1,q41b2,q42b,q43b,q43b_o,q44b,q49,q49_o,q50,q50_o,q51,q52,q53,q54,q55,q56,q57,q58,end_time,end_time_check,version,id,uuid
Beirut,Beirut,6,21,2021-12-16,12:00:00.000+02:00,2021-12-16T11:58:00.120+02:00,1,1,1,,1,3,8,1,45,2021-11-01,70,1,1,9,5,1,1200,4,3,4,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,20,1,6,5,1,420,2,NA,NA,NA,2,NA,NA,NA,6,2,,,2,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,1,2,2,2,1,2,1,2,1,1,2,,,NA,NA,NA,NA,NA,,NA,2,,NA,2,NA,2,NA,NA,1,1,1,1,1,1,2,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,10,Assistance from family,100,3,2,2,2,2,2,2,1,1000,NA,NA,4,3,1,3,3,NA,1,3,1,1,3,3,3,1,2,1,2,2,1,2,2,,NA,NA,NA,NA,NA,NA,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,NA,NA,NA,,NA,,NA,1,,1,,2,4,2,0,1,1,NA,شكرا.,12:18:00.000+02:00,2021-12-16T11:58:00.093+02:00,v76J56snwoiqz2qXnhejk9,242488974,5148b438-5096-478d-83b1-3d7d57b0022e
Beirut,Beirut,8,13,2021-12-14,11:39:00.000+02:00,2021-12-14T11:37:36.797+02:00,1,1,1,,1,3,15,1,40,2021-09-01,45,1,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,,21,2,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,6,2,,,2,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,1,2,4,2,2,NA,1,1,1,1,2,,,NA,NA,NA,NA,NA,,NA,2,,NA,2,NA,2,NA,NA,1,2,2,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,Assistance from family,100,2,2,2,2,2,2,2,3,NA,NA,NA,3,1,NA,NA,1,NA,2,2,2,3,2,3,3,2,3,1,2,2,1,2,2,,NA,NA,NA,NA,NA,NA,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,NA,NA,NA,,NA,,NA,1,,1,,2,6,2,0,2,1,NA,,11:51:00.000+02:00,2021-12-14T11:37:36.792+02:00,v76J56snwoiqz2qXnhejk9,241660698,c8d983b8-69b5-442d-b38c-5dca9e915783
Beirut,Beirut,7,26,2021-12-16,15:09:00.000+02:00,2021-12-16T15:07:50.457+02:00,1,1,1,,1,2,7,1,55,2021-10-01,267,1,1,8,5,1,1300,2,3,2,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,15,1,4,5,1,120,2,NA,NA,NA,2,NA,NA,NA,2,2,,,2,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,1,2,4,2,1,4,1,2,1,1,2,,,NA,NA,NA,NA,NA,,NA,3,,NA,3,NA,3,NA,NA,1,1,1,2,1,1,2,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,30,Assistance from family,100,2,2,2,1,2,2,2,1,1500,NA,NA,3,3,1,4,3,NA,2,3,3,3,2,3,3,1,2,1,2,2,1,2,2,,NA,NA,NA,NA,NA,NA,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,NA,NA,NA,,NA,,NA,1,,2,,1,3,2,0,2,1,NA,,15:24:00.000+02:00,2021-12-16T15:07:50.462+02:00,v76J56snwoiqz2qXnhejk9,242562528,64232839-a2f7-45cc-ad68-22f1cb509198
South_Lebanon,Saida,158,47,2021-12-10,16:01:00.000+02:00,2021-12-10T16:00:06.438+02:00,1,1,1,,1,2,10,1,40,2021-11-01,70,1,1,22,20,2,1400,5,5,5,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,0,1,14,20,2,60,2,NA,NA,NA,2,NA,NA,NA,0,2,,,2,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,2,NA,4,1,2,NA,2,NA,2,NA,2,,,NA,NA,NA,NA,NA,,NA,3,,NA,3,NA,3,NA,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,Assistance from family,100,2,2,2,2,2,2,2,1,NA,NA,NA,1,1,NA,NA,3,NA,2,3,2,3,3,3,3,3,3,2,2,1,2,2,2,,NA,NA,NA,NA,NA,NA,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,NA,NA,NA,,NA,,NA,1,,1,,2,1,1,0,2,1,NA,,16:19:00.000+02:00,2021-12-10T16:00:06.439+02:00,v76J56snwoiqz2qXnhejk9,240590498,0130cb7a-9a31-4f16-b7b1-56ace328eb2c
South_Lebanon,Saida,155,24,2021-12-08,15:06:00.000+02:00,2021-12-08T15:05:22.238+02:00,1,1,1,,1,2,12,1,999,2021-10-01,80,1,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,7,0,0,0,0,0,0,1,Her son who lives close by provides her with power from his generator subscription,12,2,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,2,,,1,1,1,0,0,0,0,,2011-12-01,999,0,NA,NA,2,NA,4,1,1,3,2,NA,1,1,3,,,NA,NA,NA,NA,NA,,NA,3,,NA,3,NA,3,NA,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,Assistance from family,100,2,2,2,2,2,2,2,2,NA,NA,NA,4,1,NA,NA,3,NA,2,3,3,3,3,3,3,3,3,3,1,2,2,2,1,,NA,NA,NA,NA,NA,NA,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,NA,NA,NA,,NA,,NA,1,,1,,1,1,1,0,2,1,NA,,15:13:00.000+02:00,2021-12-08T15:05:22.238+02:00,v76J56snwoiqz2qXnhejk9,239885731,fdf76179-6992-45f0-9596-a718542b0fda
Beirut,Beirut,1,3,2021-12-09,13:01:00.000+02:00,2021-12-09T13:00:18.210+02:00,1,1,1,,1,2,15,1,999,2021-11-01,20,1,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,,23,2,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,2,,,2,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,1,2,3,2,1,40,1,1,1,1,3,,,NA,NA,NA,NA,NA,,NA,3,,NA,3,NA,3,NA,NA,1,1,1,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,Assistance from family,100,2,2,2,2,2,2,2,3,NA,NA,NA,4,3,1,2,1,NA,2,3,3,3,2,3,3,3,3,2,1,4,1,1,1,,NA,NA,NA,NA,NA,NA,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,NA,NA,NA,,NA,,NA,1,,4,,2,1,0,0,2,1,NA,لا يوجد هاتف للتواصل، شاب وحيد في المنزل,13:14:00.000+02:00,2021-12-09T13:00:18.210+02:00,v76J56snwoiqz2qXnhejk9,240152471,de95b6c4-e868-42b9-9c0b-b2588bbd55c7
Beirut,Beirut,1,2,2021-12-07,13:34:00.000+02:00,2021-12-07T13:33:16.725+02:00,1,1,1,,1,1,1,1,45,2021-11-01,51,1,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,,22,2,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,3,2,,,2,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,2,NA,4,1,1,1,2,NA,2,NA,3,,,NA,NA,NA,NA,NA,,NA,3,,NA,3,NA,3,NA,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,Assistance from family,100,2,2,2,2,2,2,2,2,100,NA,NA,3,3,2,4,3,NA,2,3,3,2,2,3,3,3,3,2,2,2,2,2,2,,NA,NA,NA,NA,NA,NA,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,NA,NA,NA,,NA,,NA,1,,2,,1,4,1,0,2,1,NA,,13:51:00.000+02:00,2021-12-07T13:33:16.726+02:00,v76J56snwoiqz2qXnhejk9,240339718,3789777a-3c9f-4497-8ecb-15b2d5db2c4c
Beirut,Beirut,3,7,2021-12-14,13:29:00.000+02:00,2021-12-14T13:28:58.323+02:00,1,1,1,,1,4,20,1,40,2021-11-01,45,1,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,,22,1,6,5,1,30,2,NA,NA,NA,2,NA,NA,NA,0,2,,,2,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,1,2,3,2,1,5,2,NA,1,1,3,,,NA,NA,NA,NA,NA,,NA,3,,NA,3,NA,3,NA,NA,1,1,2,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,50,20,30,Assistance from family,100,2,2,2,2,2,1,1,3,NA,NA,NA,4,4,NA,NA,3,NA,1,3,1,2,2,3,3,3,3,2,2,3,1,2,1,3 2,0,1,1,3,2,NA,NA,Food and medicine,3,,2,4,0,,0,,0,,1,Refused to say,0,,3,2,NA,NA,Did not say,3,,2,1,,4,,1,2,2,0,2,2,NA,,13:41:00.000+02:00,2021-12-14T13:28:58.327+02:00,v76J56snwoiqz2qXnhejk9,241705860,b66a0e6a-c396-4016-86cb-0b08a026ed2d
Beirut,Beirut,1,19,2021-12-14,16:24:00.000+02:00,2021-12-14T16:23:06.802+02:00,1,1,1,,1,2,21,1,300,2021-12-01,335,1,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,,20,2,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,6,2,,,1,1,1,0,0,0,0,,2020-08-01,50,999,NA,NA,1,2,3,2,1,7,1,1,1,1,3,,,NA,NA,NA,NA,NA,,NA,3,,NA,3,NA,3,NA,NA,1,2,1,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,Assistance from family,100,2,2,2,2,2,2,2,3,NA,NA,NA,3,1,NA,NA,3,NA,2,3,1,3,2,3,3,3,3,1,2,3,1,2,2,,NA,NA,NA,NA,NA,NA,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,NA,NA,NA,,NA,,NA,1,,1,,1,7,2,0,2,1,NA,,16:48:00.000+02:00,2021-12-14T16:23:06.806+02:00,v76J56snwoiqz2qXnhejk9,241801235,6993fbec-590f-4ffe-ab13-def118c8a999
North_Lebanon,Akkar,112,4,2021-12-07,10:04:00.000+02:00,2021-12-07T10:02:47.581+02:00,1,1,1,,1,1,8,1,999,2021-11-01,999,1,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,,22,2,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,14,2,,,1,1,1,0,0,0,0,,2021-08-01,999,999,NA,NA,1,2,4,2,1,5,2,NA,1,1,1,Oxygen concentrator,2,0,1,0,0,0,,1,2,,NA,2,NA,2,NA,NA,1,1,2,NA,2,NA,2,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,,100,2,2,2,2,2,2,2,2,800,NA,NA,4,4,NA,NA,3,NA,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,,NA,NA,NA,NA,NA,NA,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,NA,NA,NA,,NA,,NA,1,,1,,1,1,1,0,2,1,NA,لا تعليق,10:18:00.000+02:00,2021-12-07T10:02:47.580+02:00,v76J56snwoiqz2qXnhejk9,239567481,da21ad7e-2a8f-43f9-a48b-ef9fad946564
